iter	Logloss
0	0.6885921369
1	0.6833312988
2	0.678459865
3	0.6728669085
4	0.667260001
5	0.6621834891
6	0.6568861607
7	0.6515461077
8	0.6463325718
9	0.6422079032
10	0.638470459
11	0.6331151472
12	0.6281881278
13	0.6246610805
14	0.6194185093
15	0.6163435582
16	0.6124894932
17	0.6090609741
18	0.605611921
19	0.6026126971
20	0.5987000384
21	0.5946381923
22	0.5912154715
23	0.5880939157
24	0.5850189209
25	0.5823145403
26	0.5782716588
27	0.5746371024
28	0.5717743792
29	0.5684608241
30	0.5654452515
31	0.5624113246
32	0.5591519601
33	0.5555141776
34	0.5517885045
35	0.5486097499
36	0.5446597726
37	0.5414630127
38	0.5378677804
39	0.5354200963
40	0.5328381784
41	0.5299825614
42	0.5271064976
43	0.5240395682
44	0.5210008894
45	0.5175601632
46	0.5149523054
47	0.512306039
48	0.5097634888
49	0.5071517944
50	0.5045877511
51	0.5024408831
52	0.5004241071
53	0.4977549962
54	0.4962240165
55	0.4942506627
56	0.4920483398
57	0.4901500593
58	0.4874568394
59	0.4857093593
60	0.4830144392
61	0.480990775
62	0.4794560896
63	0.4772941807
64	0.474776001
65	0.4729282924
66	0.4702093506
67	0.4674565342
68	0.4653767177
69	0.4634498378
70	0.4613406808
71	0.4600787789
72	0.4586122785
73	0.4565145002
74	0.454944676
75	0.4532458496
76	0.4510609654
77	0.4495426723
78	0.4479698399
79	0.4464500645
80	0.4452520316
81	0.4438554164
82	0.4417863682
83	0.4393318394
84	0.4374302455
85	0.4356132289
86	0.4337789481
87	0.4320738874
88	0.4308535767
89	0.4291598075
90	0.4269644165
91	0.4256940133
92	0.4242606463
93	0.4225406756
94	0.4210737392
95	0.4198899623
96	0.4184124756
97	0.4175389753
98	0.4162638637
99	0.4150493949
100	0.4135676793
101	0.4122106934
102	0.4103664725
103	0.4090796334
104	0.4074631173
105	0.4064013672
106	0.4053204782
107	0.4039680699
108	0.403059954
109	0.4020085362
110	0.4007759748
111	0.399690421
112	0.3986941528
113	0.3974026489
114	0.3954582868
115	0.3947732544
116	0.3934075928
117	0.3921925572
118	0.391000715
119	0.3903656006
